Jurisdiction,Sample ID,Collection Date,Stored at 4C? (Y/N),PCR Inhibited? (Y/N/Partial),Location (Indoor/Outdoor/Transit/Special Event)
"Miami, FL",G0MD30R5V,7/23/2024,Y,N,Outdoor
"Miami, FL",G0MD30RAH,7/23/2024,Y,N,Outdoor
"Miami, FL",G0MD30RCF,7/23/2024,Y,N,Outdoor
"Miami, FL",G0MD30RUG,7/23/2024,Y,N,Outdoor
"Miami, FL",G0MD30T13,7/23/2024,Y,N,Outdoor
"Miami, FL",G0MD30T6R,7/23/2024,Y,N,Outdoor
"Miami, FL",G0MD30TH2,7/23/2024,Y,N,Outdoor
"Miami, FL",G0MD30TPQ,7/23/2024,Y,N,Outdoor
"Miami, FL",G0MDEVEGR,1/16/2024,y,N,Outdoor
"Miami, FL",G0MDVAYX,1/16/2024,Y,N,Outdoor
"Miami, FL",G0MDZVCA6,1/16/2024,y,N,Outdoor
"Miami, FL",G0MDZVCHR,1/16/2024,Y,N,Outdoor
"Miami, FL",G0MDZVCSH,1/16/2024,Y,N,Outdoor
MIL,G0MK2A8VV,1/22/2024,Y,N,Outdoor
MIL,G0MK2A8WT,1/22/2024,Y,N,Outdoor
MIL,G0MK2A91H,1/22/2024,Y,N,Outdoor
MIL,G0MK2A92F,1/22/2024,Y,N,Outdoor
MIL,G0MK2A958,1/22/2024,Y,N,Outdoor
MIL,G0MK2A966,1/22/2024,Y,N,Outdoor
MIL,G0MK2A982,1/22/2024,Y,N,Outdoor
MIL,G0MK2A9AX,1/22/2024,Y,N,Outdoor
MIL,G0MK2CM14,4/16/2024,Y,N,Outdoor
MIL,G0MK2CM30,4/16/2024,Y,N,Outdoor
MIL,G0MK2CM4X,4/16/2024,Y,N,Outdoor
MIL,G0MK2CM5V,4/16/2024,Y,N,Outdoor
MIL,G0MK2CM8N,4/16/2024,Y,N,Outdoor
MIL,G0MK2CMAH,4/16/2024,Y,N,Outdoor
MIL,G0MK2CMDD,4/16/2024,Y,N,Outdoor
MIL,G0MK2CMEA,4/16/2024,Y,N,Outdoor
MIL,G0MK2EC50,7/22/2024,Y,N,Outdoor
MIL,G0MK2EC6X,7/22/2024,Y,N,Outdoor
MIL,G0MK2EC7V,7/22/2024,Y,N,Outdoor
MIL,G0MK2ECAN,7/22/2024,Y,N,Outdoor
MIL,G0MK2ECEF,7/22/2024,Y,N,Outdoor
MIL,G0MK2ECFD,7/22/2024,Y,N,Outdoor
MIL,G0MK2ECG9,7/22/2024,Y,N,Outdoor
MIL,G0MK2ECQU,7/22/2024,Y,N,Outdoor
MSP,G0MN2JU7Y,1/22/2024,Y,N,Transit
MSP,G0MN2JUAR,1/22/2024,Y,N,Outdoor
MSP,G0MN2JVWJ,1/22/2024,Y,N,Outdoor
MSP,G0MN2JW35,1/22/2024,Y,N,Outdoor
MSP,G0MN2JWDJ,1/22/2024,Y,N,Outdoor
MSP,G0MN2JWGA,1/22/2024,Y,N,Special Event
MSP,G0MN2JWOC,1/22/2024,Y,N,Transit
MSP,G0MN2JWTQ,1/22/2024,Y,N,Outdoor
MSP,G0MN2MDHM,4/15/2024,Y,N,Outdoor
MSP,G0MN2MDME,4/15/2024,Y,N,Transit
MSP,G0MN2MEWV,4/15/2024,Y,N,Special Event
MSP,G0MN2MF5A,4/15/2024,Y,N,Transit
MSP,G0MN2MF76,4/15/2024,Y,N,Outdoor
MSP,G0MN2MFA0,4/15/2024,Y,N,Outdoor
MSP,G0MN2MFHJ,4/15/2024,Y,N,Outdoor
MSP,G0MN2MFR3,4/15/2024,Y,N,Outdoor
"Miami, FL",G0MR2EAGO,1/17/2024,Y,N,Outdoor
"Miami, FL",G0MR2EE8D,1/17/2024,Y,N,Outdoor
"Miami, FL",G0MR2EEOX,1/17/2024,Y,N,Outdoor
"Miami, Fl",G0MR2EPAO,2/11/2024,Y,N,Outdoor
"Miami, Fl",G0MR2ETFM,2/12/2024,Y,N,Outdoor
"Miami, Fl",G0MR2ETXN,2/11/2024,Y,Partial,Outdoor
"Miami, Fl",G0MR2EU1F,2/11/2024,Y,N,Outdoor
"Miami, Fl",G0MR2EU80,2/12/2024,Y,N,Outdoor
"Miami, Fl",G0MR2EUCT,2/12/2024,Y,N,Outdoor
"Miami, FL",G0MR2GD2N,4/21/2024,Y,N,Outdoor
"Miami, FL",G0MR2GEMF,4/21/2024,Y,N,Outdoor
"Miami, FL",G0MR2GEQ8,4/22/2024,Y,N,Outdoor
"Miami, FL",G0MR2GEU2,4/21/2024,Y,N,Outdoor
"Miami, FL",G0MR2GFVY,4/22/2024,Y,N,Outdoor
"Miami, FL",G0MR2GFYR,4/22/2024,Y,N,Outdoor
"Miami, FL",G0MR2GJGK,4/23/2024,Y,N,Outdoor
"Miami, FL",G0MR2GJKD,4/23/2024,Y,N,Outdoor
"Miami, FL",G0MR2GJP6,4/23/2024,Y,N,Outdoor
"Miami, FL",G0MR2JYMT,7/21/2024,Y,N,Outdoor
"Miami, FL",G0MR2JYQK,7/21/2024,Y,N,Outdoor
"Miami, FL",G0MR2JYUD,7/21/2024,Y,N,Outdoor
"Miami, FL",G0MR2K2GW,7/23/2024,Y,N,Outdoor
"Miami, FL",G0MR2K2KP,7/23/2024,Y,N,Outdoor
